,Accuracy,Precision (Class 1),Recall (Class 1),F1-Score (Class 1),ROC AUC,PR AUC,Training Time (s),Evaluation Time (s)
Logistic Regression,0.9977078794480755,0.9666221628838452,0.9996548153261995,0.9828610215509928,0.999977385695697,0.9996777439804989,85.80507493019104,0.02100825309753418
Random Forest,0.9999773057371096,1.0,0.9996548153261995,0.9998273778698429,0.9999999790375377,0.9999997023448596,14.01163101196289,0.127577543258667
LightGBM,0.9999092229484386,0.9996545768566494,0.9989644459785986,0.9993093922651933,0.9999999580750757,0.9999994041758046,1.9321644306182861,0.054999589920043945
KNN (k=5),0.9997730573710966,0.9993081978554134,0.9972385226095961,0.9982722874913614,0.9998267242868295,0.999829097493601,0.1059877872467041,37.181825160980225
